oznam_title,contracting_authority_name,druh_postupu,druh_zakazky,druh_obstaravatela_clean,hlavna_cinnost_clean,main_cpv_code,cpv_others,deli_sa_casti,varianty,typ_obdobie,dlzka_zakazky_cleaned,kriteria_ponuk,el_aukcia,predch_uverejnen_zakazky,ziskanie_podkladov_deadline,ucast_deadline,published_on,bude_sa_opakovat_zakazka,eu_fondy,odoslanie_oznamenia,typ_ceny_oznamenia,estimatedpricecleaned,nazov_typu_oznamenia,miesto_prac_zakazky,estimatedprice_from_result,pocet_prijatych_ponuk,pocet_prijatych_el_ponuk,total_final_value_amount_clean,total_final_value_vat_included,total_final_value_vat_rate,total_final_value_amount_minus_vat,price_ratio,overpriced,druh_obstaravatela_clean_par
CNC frézovacie a vŕtacie centrum,"MIBERAS, s.r.o.",Otvorená,Tovary,OSOBA PODĽA PAR. 7,STOLÁRSKA VÝROBA,42612000-9,{42642000-8},Nie,Nie,lehoty uskutočnenia,,Iné,Áno,Nie,8/8/2014 12:00:00 AM,8/8/2014 12:00:00 AM,6/30/2014 12:00:00 AM,"",Áno,6/24/2014 12:00:00 AM,Jedna hodnota,274000,vyhlásenie verejnej súťaže (tovary),SK031,274000,2,0,240000,False,"",240000,0.875912408759124,no,OSOBA PODĽA PAR. 7
Zemný plyn,Nemocnica Poprad a. s.,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,09123000-7,"",Nie,Nie,v mesiacoch (od zadania zákazky),12,Najnižšia cena,Áno,Nie,9/23/2014 12:00:00 AM,9/23/2014 12:00:00 AM,8/12/2014 12:00:00 AM,Áno,Nie,8/7/2014 12:00:00 AM,Rozpätie hodnôt,315000,vyhlásenie verejnej súťaže (tovary),SK041,500000,3,0,455786.09,False,"",455786.09,1.44693996825397,yes,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
"Nákup elektrickej energie pre StVPS , a.s. Banská Bystrica a PVPS, a.s. Poprad vrátane zodpovednosti za odchýlku","Stredoslovenská vodárenská prevádzková spoločnosť, a.s.",Otvorená,Tovary,OBSTARÁVATEĽ PODĽA §8 ZÁKONA 25/2006,VŠEOBECNÉ VEREJNÉ SLUŽBY,09310000-5,"",Nie,Nie,v mesiacoch (od zadania zákazky),36,Najnižšia cena,Áno,Nie,11/21/2014 12:00:00 AM,11/21/2014 12:00:00 AM,10/13/2014 12:00:00 AM,Nie,Nie,10/7/2014 12:00:00 AM,Jedna hodnota,16467910.05,vyhlásenie verejnej súťaže (tovary),SK032,16467910.05,4,0,5697758.55,False,"",5697758.55,0.345991600190942,no,paragraf §8
Príprava a dodávka celodennej stravy,Domov dôchodcov - Gerium,Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,SOCIÁLNA STAROSTLIVOSŤ,55520000-1,{55521100-9},Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Nie,Áno,11/19/2014 12:00:00 AM,11/19/2014 12:00:00 AM,10/9/2014 12:00:00 AM,"",Nie,10/5/2014 12:00:00 AM,Jedna hodnota,380000,vyhlásenie verejnej súťaže (služby),SK010,380000,2,0,448029.6,True,20,358423.68,0.943220210526316,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
"Dodávka zemného plynu pre všetky odberné miesta vo vlastníctve Národnej diaľničnej spoločnosti, a.s.","Národná diaľničná spoločnosť, a.s.",Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,"PRÍPRAVA, VÝSTAVBA, PREVÁDZKA A ÚDRŽBA DIAĽNÍC A RÝCHLOSTNÝCH CIEST",09123000-7,"",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Áno,Áno,7/7/2014 12:00:00 AM,7/7/2014 12:00:00 AM,6/6/2014 12:00:00 AM,Nie,Nie,6/4/2014 12:00:00 AM,Jedna hodnota,1227114,vyhlásenie verejnej súťaže (tovary),SK0,1227114,5,0,667860.44,False,"",667860.44,0.54425297079163,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Zariadenia do cukrárskej a pekárskej výroby,Mária Vyšovská - MARIANNA,Otvorená,Tovary,§7 ODS. 1,INÉ,42215200-8,"",Nie,Nie,v mesiacoch (od zadania zákazky),9,Najnižšia cena,Áno,Nie,9/22/2014 12:00:00 AM,9/22/2014 12:00:00 AM,7/31/2014 12:00:00 AM,Nie,Áno,7/28/2014 12:00:00 AM,Jedna hodnota,196690,vyhlásenie verejnej súťaže (tovary),SK041,196690,3,0,196590,False,"",196590,0.999491585744064,no,paragraf §7
Technická podpora na licenčný softvér (maintenance) využívaný v informačnom systéme Sociálnej poisťovne,"Sociálna poisťovňa, ústredie",Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,SOCIÁLNE POISTENIE,72261000-2,"",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Áno,Áno,10/29/2014 12:00:00 AM,10/29/2014 12:00:00 AM,9/23/2014 12:00:00 AM,Nie,Nie,9/18/2014 12:00:00 AM,Jedna hodnota,730000,vyhlásenie verejnej súťaže (služby),SK01,730000,2,2,874250,True,20,699400,0.958082191780822,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
"Technologická inovácia polygrafickej výroby pre STIKEN, s.r.o.","STIKEN, s.r.o.",Otvorená,Tovary,OSOBA PODĽA § 7,POLYGRAFICKÁ VÝROBA,30232130-4,"",Nie,Nie,v dňoch (od zadania zákazky),0.233333333333333,Najnižšia cena,Áno,Nie,9/8/2014 12:00:00 AM,9/8/2014 12:00:00 AM,7/28/2014 12:00:00 AM,Nie,Áno,7/22/2014 12:00:00 AM,Jedna hodnota,276000,vyhlásenie verejnej súťaže (tovary),SK023,276000,3,0,252350,False,"",252350,0.914311594202899,no,paragraf §7
Znovuotvorenie rámcovej dohody na dodávku elektrickej energie na rok 2015,Úrad vlády Slovenskej republiky,Otvorená,Tovary,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,VŠEOBECNÉ VEREJNÉ SLUŽBY,09310000-5,"",Nie,Nie,v mesiacoch (od zadania zákazky),12,Iné,Áno,Nie,9/30/2014 12:00:00 AM,9/30/2014 12:00:00 AM,9/8/2014 12:00:00 AM,Nie,Nie,9/4/2014 12:00:00 AM,Jedna hodnota,198945.51,vyhlásenie verejnej súťaže (tovary),SK,198945.51,1,1,170024.44,False,"",170024.44,0.854628184370685,no,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
Dodávka elektrickej energie pre objekty Prešovskej univerzity v Prešove,Prešovská univerzita v Prešove - Rektorát,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,VZDELÁVANIE,09310000-5,"",Nie,Nie,lehoty uskutočnenia,,Najnižšia cena,Áno,Áno,11/3/2014 12:00:00 AM,11/3/2014 12:00:00 AM,10/8/2014 12:00:00 AM,Nie,Nie,10/3/2014 12:00:00 AM,Jedna hodnota,760000,vyhlásenie verejnej súťaže (tovary),SK041,760000,3,0,632317,True,20,505853.6,0.665596842105263,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
